date,rail_lrt_ampang,rail_mrt_kajang,rail_lrt_kj,rail_monorail,rail_mrt_pjy,year,month,weekday,is_weekend,total_ridership
2019-01-01,113357,114173,139634,35804,0,2019,1,Tuesday,False,402968
2019-01-02,182715,169316,274224,31859,0,2019,1,Wednesday,False,658114
2019-01-03,187904,175304,286469,31893,0,2019,1,Thursday,False,681570
2019-01-04,198420,187891,304755,34121,0,2019,1,Friday,False,725187
2019-01-05,120773,112660,145036,29950,0,2019,1,Saturday,True,408419
2019-01-06,101145,95913,120032,25342,0,2019,1,Sunday,True,342432
2019-01-07,197569,184365,301290,31988,0,2019,1,Monday,False,715212
2019-01-08,196879,185920,304680,31792,0,2019,1,Tuesday,False,719271
2019-01-09,197314,188770,307069,32305,0,2019,1,Wednesday,False,725458
2019-01-10,198876,189818,310510,32057,0,2019,1,Thursday,False,731261
2019-01-11,209859,204378,326471,33265,0,2019,1,Friday,False,773973
2019-01-12,124608,123932,152720,30671,0,2019,1,Saturday,True,431931
2019-01-13,106718,108346,127805,27235,0,2019,1,Sunday,True,370104
2019-01-14,199162,192036,306455,32172,0,2019,1,Monday,False,729825
2019-01-15,195405,189880,305742,31260,0,2019,1,Tuesday,False,722287
2019-01-16,198901,194697,311279,31612,0,2019,1,Wednesday,False,736489
2019-01-17,201926,194701,314277,31234,0,2019,1,Thursday,False,742138
2019-01-18,217270,212546,330484,35981,0,2019,1,Friday,False,796281
2019-01-19,130758,127306,157194,30339,0,2019,1,Saturday,True,445597
2019-01-20,105012,110488,125599,27159,0,2019,1,Sunday,True,368258
2019-01-21,103443,106077,125094,23836,0,2019,1,Monday,False,358450
2019-01-22,196298,189718,304452,31245,0,2019,1,Tuesday,False,721713
2019-01-23,197309,193904,308968,31051,0,2019,1,Wednesday,False,731232
2019-01-24,198692,193784,313285,32338,0,2019,1,Thursday,False,738099
2019-01-25,215764,210356,332682,36334,0,2019,1,Friday,False,795136
2019-01-26,136301,133944,161765,33508,0,2019,1,Saturday,True,465518
2019-01-27,107763,114660,128906,27630,0,2019,1,Sunday,True,378959
2019-01-28,201365,193349,311540,32889,0,2019,1,Monday,False,739143
2019-01-29,201416,197553,317389,33093,0,2019,1,Tuesday,False,749451
2019-01-30,203261,200482,320084,33103,0,2019,1,Wednesday,False,756930
2019-01-31,216817,209858,324593,35298,0,2019,1,Thursday,False,786566
2019-02-01,133281,134808,176585,24817,0,2019,2,Friday,False,469491
2019-02-02,116729,110338,130286,27648,0,2019,2,Saturday,True,385001
2019-02-03,103011,97759,119030,27508,0,2019,2,Sunday,True,347308
2019-02-04,139596,124890,200211,32076,0,2019,2,Monday,False,496773
2019-02-05,102683,98115,142522,33484,0,2019,2,Tuesday,False,376804
2019-02-06,96384,91478,118858,27009,0,2019,2,Wednesday,False,333729
2019-02-07,149863,142324,229122,31452,0,2019,2,Thursday,False,552761
2019-02-08,157270,149732,245190,31909,0,2019,2,Friday,False,584101
2019-02-09,109346,104722,134543,27174,0,2019,2,Saturday,True,375785
2019-02-10,99421,94513,115661,22790,0,2019,2,Sunday,True,332385
2019-02-11,195601,187579,303415,31101,0,2019,2,Monday,False,717696
2019-02-12,195645,191843,308682,31333,0,2019,2,Tuesday,False,727503
2019-02-13,193979,190300,307471,31183,0,2019,2,Wednesday,False,722933
2019-02-14,198331,199824,315114,33229,0,2019,2,Thursday,False,746498
2019-02-15,209305,205707,326085,35781,0,2019,2,Friday,False,776878
2019-02-16,132846,130475,160601,30697,0,2019,2,Saturday,True,454619
2019-02-17,107138,104056,132422,25363,0,2019,2,Sunday,True,368979
2019-02-18,196753,196520,271155,35571,0,2019,2,Monday,False,699999
2019-02-19,178768,157389,294107,32237,0,2019,2,Tuesday,False,662501
2019-02-20,199157,196053,312133,32399,0,2019,2,Wednesday,False,739742
2019-02-21,200226,197214,313732,31764,0,2019,2,Thursday,False,742936
2019-02-22,212795,209391,330890,35687,0,2019,2,Friday,False,788763
2019-02-23,125301,122615,156854,29840,0,2019,2,Saturday,True,434610
2019-02-24,104184,104368,126762,25721,0,2019,2,Sunday,True,361035
2019-02-25,198840,191436,308389,32058,0,2019,2,Monday,False,730723
2019-02-26,197991,192901,312558,31574,0,2019,2,Tuesday,False,735024
2019-02-27,198505,195542,313176,32549,0,2019,2,Wednesday,False,739772
2019-02-28,201166,197248,317961,33380,0,2019,2,Thursday,False,749755
2019-03-01,217456,213982,336857,37968,0,2019,3,Friday,False,806263
2019-03-02,134544,130713,165206,33679,0,2019,3,Saturday,True,464142
2019-03-03,111588,108332,137573,28642,0,2019,3,Sunday,True,386135
2019-03-04,197801,192865,307273,32552,0,2019,3,Monday,False,730491
2019-03-05,200357,193701,314642,33206,0,2019,3,Tuesday,False,741906
2019-03-06,203100,199792,319435,33651,0,2019,3,Wednesday,False,755978
2019-03-07,204283,199036,319841,35364,0,2019,3,Thursday,False,758524
2019-03-08,223645,220947,343280,39461,0,2019,3,Friday,False,827333
2019-03-09,132857,126214,159221,34063,0,2019,3,Saturday,True,452355
2019-03-10,109988,103224,128440,27606,0,2019,3,Sunday,True,369258
2019-03-11,201798,192667,310035,32928,0,2019,3,Monday,False,737428
2019-03-12,200905,197370,316228,33031,0,2019,3,Tuesday,False,747534
