date,bus_rkl,bus_rkn,bus_rpn,rail_lrt_ampang,rail_mrt_kajang,rail_lrt_kj,rail_monorail,rail_mrt_pjy,rail_ets,rail_intercity,rail_komuter_utara,rail_tebrau,rail_komuter,total_ridership,year,month,weekday,is_weekend,total_rapidbus,total_urbanrail,total_nationalrail,DayType
2019-01-01,,,,113357,114173,139634,35804,0.0,,,,,,402968.0,2019,1,Tuesday,False,0.0,402968.0,0.0,Weekday
2019-01-02,,,,182715,169316,274224,31859,0.0,,,,,,658114.0,2019,1,Wednesday,False,0.0,658114.0,0.0,Weekday
2019-01-03,,,,187904,175304,286469,31893,0.0,,,,,,681570.0,2019,1,Thursday,False,0.0,681570.0,0.0,Weekday
2019-01-04,,,,198420,187891,304755,34121,0.0,,,,,,725187.0,2019,1,Friday,False,0.0,725187.0,0.0,Weekday
2019-01-05,,,,120773,112660,145036,29950,0.0,,,,,,408419.0,2019,1,Saturday,True,0.0,408419.0,0.0,Weekend
2019-01-06,,,,101145,95913,120032,25342,0.0,,,,,,342432.0,2019,1,Sunday,True,0.0,342432.0,0.0,Weekend
2019-01-07,,,,197569,184365,301290,31988,0.0,,,,,,715212.0,2019,1,Monday,False,0.0,715212.0,0.0,Weekday
2019-01-08,,,,196879,185920,304680,31792,0.0,,,,,,719271.0,2019,1,Tuesday,False,0.0,719271.0,0.0,Weekday
2019-01-09,,,,197314,188770,307069,32305,0.0,,,,,,725458.0,2019,1,Wednesday,False,0.0,725458.0,0.0,Weekday
2019-01-10,,,,198876,189818,310510,32057,0.0,,,,,,731261.0,2019,1,Thursday,False,0.0,731261.0,0.0,Weekday
2019-01-11,,,,209859,204378,326471,33265,0.0,,,,,,773973.0,2019,1,Friday,False,0.0,773973.0,0.0,Weekday
2019-01-12,,,,124608,123932,152720,30671,0.0,,,,,,431931.0,2019,1,Saturday,True,0.0,431931.0,0.0,Weekend
2019-01-13,,,,106718,108346,127805,27235,0.0,,,,,,370104.0,2019,1,Sunday,True,0.0,370104.0,0.0,Weekend
2019-01-14,,,,199162,192036,306455,32172,0.0,,,,,,729825.0,2019,1,Monday,False,0.0,729825.0,0.0,Weekday
2019-01-15,,,,195405,189880,305742,31260,0.0,,,,,,722287.0,2019,1,Tuesday,False,0.0,722287.0,0.0,Weekday
2019-01-16,,,,198901,194697,311279,31612,0.0,,,,,,736489.0,2019,1,Wednesday,False,0.0,736489.0,0.0,Weekday
2019-01-17,,,,201926,194701,314277,31234,0.0,,,,,,742138.0,2019,1,Thursday,False,0.0,742138.0,0.0,Weekday
2019-01-18,,,,217270,212546,330484,35981,0.0,,,,,,796281.0,2019,1,Friday,False,0.0,796281.0,0.0,Weekday
2019-01-19,,,,130758,127306,157194,30339,0.0,,,,,,445597.0,2019,1,Saturday,True,0.0,445597.0,0.0,Weekend
2019-01-20,,,,105012,110488,125599,27159,0.0,,,,,,368258.0,2019,1,Sunday,True,0.0,368258.0,0.0,Weekend
2019-01-21,,,,103443,106077,125094,23836,0.0,,,,,,358450.0,2019,1,Monday,False,0.0,358450.0,0.0,Weekday
2019-01-22,,,,196298,189718,304452,31245,0.0,,,,,,721713.0,2019,1,Tuesday,False,0.0,721713.0,0.0,Weekday
2019-01-23,,,,197309,193904,308968,31051,0.0,,,,,,731232.0,2019,1,Wednesday,False,0.0,731232.0,0.0,Weekday
2019-01-24,,,,198692,193784,313285,32338,0.0,,,,,,738099.0,2019,1,Thursday,False,0.0,738099.0,0.0,Weekday
2019-01-25,,,,215764,210356,332682,36334,0.0,,,,,,795136.0,2019,1,Friday,False,0.0,795136.0,0.0,Weekday
2019-01-26,,,,136301,133944,161765,33508,0.0,,,,,,465518.0,2019,1,Saturday,True,0.0,465518.0,0.0,Weekend
2019-01-27,,,,107763,114660,128906,27630,0.0,,,,,,378959.0,2019,1,Sunday,True,0.0,378959.0,0.0,Weekend
2019-01-28,,,,201365,193349,311540,32889,0.0,,,,,,739143.0,2019,1,Monday,False,0.0,739143.0,0.0,Weekday
2019-01-29,,,,201416,197553,317389,33093,0.0,,,,,,749451.0,2019,1,Tuesday,False,0.0,749451.0,0.0,Weekday
2019-01-30,,,,203261,200482,320084,33103,0.0,,,,,,756930.0,2019,1,Wednesday,False,0.0,756930.0,0.0,Weekday
2019-01-31,,,,216817,209858,324593,35298,0.0,,,,,,786566.0,2019,1,Thursday,False,0.0,786566.0,0.0,Weekday
2019-02-01,,,,133281,134808,176585,24817,0.0,,,,,,469491.0,2019,2,Friday,False,0.0,469491.0,0.0,Weekday
2019-02-02,,,,116729,110338,130286,27648,0.0,,,,,,385001.0,2019,2,Saturday,True,0.0,385001.0,0.0,Weekend
2019-02-03,,,,103011,97759,119030,27508,0.0,,,,,,347308.0,2019,2,Sunday,True,0.0,347308.0,0.0,Weekend
2019-02-04,,,,139596,124890,200211,32076,0.0,,,,,,496773.0,2019,2,Monday,False,0.0,496773.0,0.0,Weekday
2019-02-05,,,,102683,98115,142522,33484,0.0,,,,,,376804.0,2019,2,Tuesday,False,0.0,376804.0,0.0,Weekday
2019-02-06,,,,96384,91478,118858,27009,0.0,,,,,,333729.0,2019,2,Wednesday,False,0.0,333729.0,0.0,Weekday
2019-02-07,,,,149863,142324,229122,31452,0.0,,,,,,552761.0,2019,2,Thursday,False,0.0,552761.0,0.0,Weekday
2019-02-08,,,,157270,149732,245190,31909,0.0,,,,,,584101.0,2019,2,Friday,False,0.0,584101.0,0.0,Weekday
2019-02-09,,,,109346,104722,134543,27174,0.0,,,,,,375785.0,2019,2,Saturday,True,0.0,375785.0,0.0,Weekend
2019-02-10,,,,99421,94513,115661,22790,0.0,,,,,,332385.0,2019,2,Sunday,True,0.0,332385.0,0.0,Weekend
2019-02-11,,,,195601,187579,303415,31101,0.0,,,,,,717696.0,2019,2,Monday,False,0.0,717696.0,0.0,Weekday
2019-02-12,,,,195645,191843,308682,31333,0.0,,,,,,727503.0,2019,2,Tuesday,False,0.0,727503.0,0.0,Weekday
2019-02-13,,,,193979,190300,307471,31183,0.0,,,,,,722933.0,2019,2,Wednesday,False,0.0,722933.0,0.0,Weekday
2019-02-14,,,,198331,199824,315114,33229,0.0,,,,,,746498.0,2019,2,Thursday,False,0.0,746498.0,0.0,Weekday
2019-02-15,,,,209305,205707,326085,35781,0.0,,,,,,776878.0,2019,2,Friday,False,0.0,776878.0,0.0,Weekday
2019-02-16,,,,132846,130475,160601,30697,0.0,,,,,,454619.0,2019,2,Saturday,True,0.0,454619.0,0.0,Weekend
2019-02-17,,,,107138,104056,132422,25363,0.0,,,,,,368979.0,2019,2,Sunday,True,0.0,368979.0,0.0,Weekend
2019-02-18,,,,196753,196520,271155,35571,0.0,,,,,,699999.0,2019,2,Monday,False,0.0,699999.0,0.0,Weekday
2019-02-19,,,,178768,157389,294107,32237,0.0,,,,,,662501.0,2019,2,Tuesday,False,0.0,662501.0,0.0,Weekday
2019-02-20,,,,199157,196053,312133,32399,0.0,,,,,,739742.0,2019,2,Wednesday,False,0.0,739742.0,0.0,Weekday
2019-02-21,,,,200226,197214,313732,31764,0.0,,,,,,742936.0,2019,2,Thursday,False,0.0,742936.0,0.0,Weekday
2019-02-22,,,,212795,209391,330890,35687,0.0,,,,,,788763.0,2019,2,Friday,False,0.0,788763.0,0.0,Weekday
2019-02-23,,,,125301,122615,156854,29840,0.0,,,,,,434610.0,2019,2,Saturday,True,0.0,434610.0,0.0,Weekend
2019-02-24,,,,104184,104368,126762,25721,0.0,,,,,,361035.0,2019,2,Sunday,True,0.0,361035.0,0.0,Weekend
2019-02-25,,,,198840,191436,308389,32058,0.0,,,,,,730723.0,2019,2,Monday,False,0.0,730723.0,0.0,Weekday
2019-02-26,,,,197991,192901,312558,31574,0.0,,,,,,735024.0,2019,2,Tuesday,False,0.0,735024.0,0.0,Weekday
2019-02-27,,,,198505,195542,313176,32549,0.0,,,,,,739772.0,2019,2,Wednesday,False,0.0,739772.0,0.0,Weekday
2019-02-28,,,,201166,197248,317961,33380,0.0,,,,,,749755.0,2019,2,Thursday,False,0.0,749755.0,0.0,Weekday
2019-03-01,,,,217456,213982,336857,37968,0.0,,,,,,806263.0,2019,3,Friday,False,0.0,806263.0,0.0,Weekday
2019-03-02,,,,134544,130713,165206,33679,0.0,,,,,,464142.0,2019,3,Saturday,True,0.0,464142.0,0.0,Weekend
2019-03-03,,,,111588,108332,137573,28642,0.0,,,,,,386135.0,2019,3,Sunday,True,0.0,386135.0,0.0,Weekend
2019-03-04,,,,197801,192865,307273,32552,0.0,,,,,,730491.0,2019,3,Monday,False,0.0,730491.0,0.0,Weekday
